"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 07/mar/2023"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 07/mar/2023 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 21/02/2023)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1454.44726","11.77523","16.7246","               ---","1449.49789"
"BCA","BCA","2","1398.77258","21.08783","19.40999","               ---","1400.45042"
"BCA","BCA","3","1376.92828","30.49304","35.19969","               ---","1372.22163"
"BCA","BCA","4","1361.52875","24.98962","28.79877","               ---","1357.7196"
"BCA","BCA","5","1375.25093","13.48667","12.36007","               ---","1376.37753"
"BCA","BCA","6","1416.82001","18.59362","10","               ---","1425.41363"
"BCA","BCA","7","1499.44709","23.21641","8.71867","               ---","1513.94483"
"BCA","BCA","8","1568.96728","60.125","20.98371","               ---","1608.10857"
"BCA","BCA","9","1564.88121","141.89013","65.31627","               ---","1641.45507"
"BCA","BCA","10","1539.45246","183.35082","68.6635","               ---","1654.13979"
"BCA","BCA","11","1477.15566","263.00687","69.05346","               ---","1671.10907"
"BCA","BCA","12","1470.10188","291.81418","92.93684","               ---","1668.97922"
"BCA","BCA","13","1458.66475","298.15478","91.11885","               ---","1665.70068"
"BCA","BCA","14","1490.37089","254.2427","60.14176","               ---","1684.47184"
"BCA","BCA","15","1455.53946","258.83624","27.05985","               ---","1687.31584"
"BCA","BCA","16","1592.09475","96.35087","0","               ---","1688.44562"
"BCA","BCA","17","1571.58645","148.78107","34.00687","               ---","1686.36064"
"BCA","BCA","18","1532.90586","241.88806","45.91372","               ---","1728.88021"
"BCA","BCA","19","1709.41844","78.18973","0","               ---","1787.60817"
"BCA","BCA","20","1701.80656","94.74798","7.91211","               ---","1788.64243"
"BCA","BCA","21","1762.57114","74.10188","62.91936","               ---","1773.75367"
"BCA","BCA","22","1700.19868","77.334","59.67762","               ---","1717.85506"
"BCA","BCA","23","1609.32293","53.37912","34.17459","               ---","1628.52746"
"BCA","BCA","24","1537.52453","62.29167","64.6613","               ---","1535.1549"
"BCS","BCA","1","232.70474","0","0","               ---","232.70474"
"BCS","BCA","2","222.7191","0","0","               ---","222.7191"
"BCS","BCA","3","216.65571","0","0","               ---","216.65571"
