"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 26/ene/2024"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/ene/2024 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 12/01/2024)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1429.40842","199.58543","94.10406","               ---","1534.88978"
"BCA","BCA","2","1422.78513","181.30517","130.38722","               ---","1473.70308"
"BCA","BCA","3","1422.489","162.74265","144.54845","               ---","1440.6832"
"BCA","BCA","4","1402.41653","156.14446","139.62034","               ---","1418.94065"
"BCA","BCA","5","1407.32423","155.85908","131.83637","               ---","1431.34695"
"BCA","BCA","6","1409.84059","181.19643","113.81958","               ---","1477.21744"
"BCA","BCA","7","1449.7528","183.6946","75.58637","               ---","1557.86103"
"BCA","BCA","8","1460.89222","283.42292","105.61436","               ---","1638.70078"
"BCA","BCA","9","1360.08143","386.11182","59.65628","               ---","1686.53697"
"BCA","BCA","10","1363.59118","405.14079","71.82994","               ---","1696.90203"
"BCA","BCA","11","1378.32071","392.1103","78.87347","               ---","1691.55754"
"BCA","BCA","12","1321.22661","460.12695","93.33979","               ---","1688.01377"
"BCA","BCA","13","1298.30894","462.12752","95.43938","               ---","1664.99709"
"BCA","BCA","14","1306.66164","498.90661","123.60539","               ---","1681.96286"
"BCA","BCA","15","1292.61522","490.30298","100.79309","               ---","1682.12511"
"BCA","BCA","16","1293.56801","465.18666","84.08398","               ---","1674.67069"
"BCA","BCA","17","1297.23076","460.81723","70.32602","               ---","1687.72197"
"BCA","BCA","18","1352.19899","468.77603","62.41089","               ---","1758.56413"
"BCA","BCA","19","1401.66302","470.19028","96.2668","               ---","1775.58649"
"BCA","BCA","20","1400.33283","474.6607","92.90103","               ---","1782.09249"
"BCA","BCA","21","1402.34017","458.9905","80.73611","               ---","1780.59455"
"BCA","BCA","22","1449.30846","403.09854","102.4281","               ---","1749.97889"
"BCA","BCA","23","1470.94584","317.43559","98.07465","               ---","1690.30679"
"BCA","BCA","24","1457.20186","281.32724","135.74734","               ---","1602.78176"
"BCS","BCA","1","228.25197","0","0","               ---","228.25197"
"BCS","BCA","2","219.42886","0","0","               ---","219.42886"
"BCS","BCA","3","213.92722","0","0","               ---","213.92722"
"BCS","BCA","4","210.97788","0","0","               ---","210.97788"
"BCS","BCA","5","212.50843","0","0","               ---","212.50843"
"BCS","BCA","6","224.15473","0","0","               ---","224.15473"
"BCS","BCA","7","243.66553","0","0","               ---","243.66553"
"BCS","BCA","8","254.29917","0","0","               ---","254.29917"
"BCS","BCA","9","267.59972","0","0","               ---","267.59972"
"BCS","BCA","10","282.83043","0","0","               ---","282.83043"
"BCS","BCA","11","284.71397","0","0","               ---","284.71397"
