"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 16/feb/2024"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 16/feb/2024 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 02/02/2024)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1318.28367","201.57714","117.34586","               ---","1402.51495"
"BCA","BCA","2","1287.73592","189.73135","128.0206","               ---","1349.44667"
"BCA","BCA","3","1270.47302","184.1646","135.42156","               ---","1319.21606"
"BCA","BCA","4","1259.61811","188.07781","142.54072","               ---","1305.1552"
"BCA","BCA","5","1250.40316","198.48239","129.69593","               ---","1319.18963"
"BCA","BCA","6","1230.31062","224.23816","99.63029","               ---","1354.9185"
"BCA","BCA","7","1201.13953","397.95393","166.00654","               ---","1433.08692"
"BCA","BCA","8","1289.39428","452.31677","221.88026","               ---","1519.83079"
"BCA","BCA","9","1208.83063","607.56617","251.93738","               ---","1564.45942"
"BCA","BCA","10","1193.81381","579.07919","184.79855","               ---","1588.09444"
"BCA","BCA","11","1221.92501","574.71194","177.91472","               ---","1618.72223"
"BCA","BCA","12","1233.62883","570.61585","174.04813","               ---","1630.19655"
"BCA","BCA","13","1235.43797","575.27956","175.86869","               ---","1634.84883"
"BCA","BCA","14","1242.68398","579.43881","185.18189","               ---","1636.94091"
"BCA","BCA","15","1235.3583","559.58756","162.24215","               ---","1632.70372"
"BCA","BCA","16","1233.04031","507.93706","115.21677","               ---","1625.7606"
"BCA","BCA","17","1256.17994","500.99294","146.61636","               ---","1610.55652"
"BCA","BCA","18","1313.49181","513.22117","177.05348","               ---","1649.65951"
"BCA","BCA","19","1529.29911","362.55995","204.91257","               ---","1686.94649"
"BCA","BCA","20","1534.07913","353.41968","209.06835","               ---","1678.43046"
"BCA","BCA","21","1531.3157","336.09798","202.0673","               ---","1665.34639"
"BCA","BCA","22","1608.73898","158.73672","142.59499","               ---","1624.88071"
"BCA","BCA","23","1554.2184","158.39855","161.08264","               ---","1551.53431"
"BCA","BCA","24","1467.70535","153.98106","155.57012","               ---","1466.11629"
"BCS","BCA","1","261.28451","0","0","               ---","261.28451"
"BCS","BCA","2","247.46671","0","0","               ---","247.46671"
"BCS","BCA","3","239.72161","0","0","               ---","239.72161"
"BCS","BCA","4","235.27059","0","0","               ---","235.27059"
"BCS","BCA","5","235.22737","0","0","               ---","235.22737"
"BCS","BCA","6","246.43255","0","0","               ---","246.43255"
"BCS","BCA","7","266.33854","0","0","               ---","266.33854"
"BCS","BCA","8","281.27899","0","0","               ---","281.27899"
"BCS","BCA","9","295.59756","0","0","               ---","295.59756"
"BCS","BCA","10","306.21423","0","0","               ---","306.21423"
"BCS","BCA","11","314.31892","0","0","               ---","314.31892"
"BCS","BCA","12","321.03589","0","0","               ---","321.03589"
"BCS","BCA","13","323.31196","0","0","               ---","323.31196"
"BCS","BCA","14","322.89248","0","0","               ---","322.89248"
"BCS","BCA","15","320.67213","0","0","               ---","320.67213"
"BCS","BCA","16","324.11341","0","0","               ---","324.11341"
"BCS","BCA","17","325.96708","0","0","               ---","325.96708"
"BCS","BCA","18","323.8536","0","0","               ---","323.8536"
"BCS","BCA","19","333.26106","0","0","               ---","333.26106"
"BCS","BCA","20","334.68522","0","0","               ---","334.68522"
"BCS","BCA","21","324.91352","0","0","               ---","324.91352"
"BCS","BCA","22","311.30306","0","0","               ---","311.30306"
"BCS","BCA","23","291.33476","0","0","               ---","291.33476"
"BCS","BCA","24","269.30008","0","0","               ---","269.30008"
"SIN","CEN","1","2992.15497","0","0","          3051.478","6043.63297"
"SIN","CEN","2","2839.91374","0","0","          3024.087","5864.00074"
"SIN","CEN","3","2841.1549","0","0","          2839.267","5680.4219"
"SIN","CEN","4","2829.46607","0","0","           2718.42","5547.88607"
"SIN","CEN","5","3009.05462","0","0","          2619.189","5628.24362"
"SIN","CEN","6","3120.38429","0","0","          2806.747","5927.13129"
"SIN","CEN","7","3224.37765","0","0","          3167.031","6391.40865"
"SIN","CEN","8","3320.03892","0","0","          3321.843","6641.88192"
"SIN","CEN","9","3498.34929","0","0","          3423.434","6921.78329"
"SIN","CEN","10","3544.64736","0","0","          3570.371","7115.01836"
"SIN","CEN","11","3356.88546","0","0","          3874.101","7230.98646"
"SIN","CEN","12","3397.30731","0","0","          3987.955","7385.26231"
"SIN","CEN","13","3344.40266","0","0","          4002.028","7346.43066"
"SIN","CEN","14","3390.12392","0","0","          3922.856","7312.97992"
"SIN","CEN","15","3440.19554","0","0","          3768.474","7208.66954"
"SIN","CEN","16","3523.47535","0","0","          3876.548","7400.02335"
"SIN","CEN","17","3577.18834","0","0","          3817.674","7394.86234"
"SIN","CEN","18","3742.19178","0","0","          3643.959","7386.15078"
"SIN","CEN","19","4170.14724","0","0","          3263.638","7433.78524"
"SIN","CEN","20","4841.0708","0","0","          2973.842","7814.9128"
"SIN","CEN","21","4570.95375","0","0","          3051.331","7622.28475"
"SIN","CEN","22","4407.74939","0","0","          2880.464","7288.21339"
"SIN","CEN","23","4162.89656","0","0","          2842.264","7005.16056"
"SIN","CEN","24","3581.34256","0","0","          2972.829","6554.17156"
"SIN","NES","1","9503.80928","220","1.89273","         -4318.295","5403.62156"
"SIN","NES","2","8994.56059","220","1.72041","         -4047.659","5165.18118"
"SIN","NES","3","8911.45917","210","1.43793","         -4020.346","5099.67525"
"SIN","NES","4","8680.57347","210","1.34809","         -3783.936","5105.28938"
"SIN","NES","5","8697.93421","180","1.70794","          -3815.21","5061.01628"
"SIN","NES","6","9251.83703","190","3.4056","         -4262.908","5175.52343"
"SIN","NES","7","10019.1075","115","0.84876","         -4752.177","5381.08174"
"SIN","NES","8","10298.00679","115","0.86053","         -4889.464","5522.68226"
"SIN","NES","9","9518.17574","115","0.86811","         -3997.599","5634.70863"
"SIN","NES","10","9131.40342","116.23872","0.78324","         -3475.286","5771.5729"
"SIN","NES","11","9423.58511","215","0.88866","         -3852.373","5785.32345"
"SIN","NES","12","9516.66564","250","2.31981","         -3867.217","5897.12883"
"SIN","NES","13","9297.15006","250","2.36446","         -3549.864","5994.9216"
"SIN","NES","14","9351.49298","250","1.78352","         -3518.774","6080.93546"
"SIN","NES","15","9070.50202","280","3.75156","         -3280.027","6066.72346"
"SIN","NES","16","9319.99732","250","2.39865","         -3278.983","6288.61567"
"SIN","NES","17","9728.82234","280","3.82049","         -3813.301","6191.70085"
"SIN","NES","18","10498.57012","260","1.34411","         -4525.373","6231.85301"
"SIN","NES","19","10968.4098","360","6.46231","         -5107.207","6214.74049"
"SIN","NES","20","10786.8233","360","4.93891","         -4860.737","6281.14739"
"SIN","NES","21","10902.00206","330","4.25621","         -4973.981","6253.76485"
"SIN","NES","22","10833.02019","330","4.31394","         -4993.005","6165.70125"
"SIN","NES","23","10407.32447","330","4.31771","         -4751.358","5981.64877"
"SIN","NES","24","10226.53831","310","3.49366","         -4633.229","5899.81565"
"SIN","NOR","1","3438.21605","0","0","         -1214.801","2223.41505"
