"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 26/ago/2024"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/ago/2024 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 12/08/2024)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1947.84871","325.31476","152.33411","               ---","2120.82936"
"BCA","BCA","2","2032.02539","33.33522","12.15237","               ---","2053.20824"
"BCA","BCA","3","2000.2834","72.62221","72.34578","               ---","2000.55983"
"BCA","BCA","4","1964.43596","61.21179","64.69088","               ---","1960.95688"
"BCA","BCA","5","2017.88963","76.44006","138.60088","               ---","1955.72881"
"BCA","BCA","6","2068.7502","68.49462","158.02479","               ---","1979.22003"
"BCA","BCA","7","2131.2689","88.19105","140.81613","               ---","2078.64383"
"BCA","BCA","8","2319.2129","67.71331","84.22814","               ---","2302.69807"
"BCA","BCA","9","2458.51079","32.22765","10.81015","               ---","2479.92829"
"BCA","BCA","10","2618.45427","106.41684","96.2785","               ---","2628.59261"
"BCA","BCA","11","2749.54009","160.28352","131.30377","               ---","2778.51985"
"BCA","BCA","12","2895.74488","166.99019","134.40905","               ---","2928.32601"
"BCA","BCA","13","3026.55173","154.47044","125.98897","               ---","3055.0332"
"BCA","BCA","14","3123.29216","181.5101","157.39534","               ---","3147.40692"
"BCA","BCA","15","3150.32879","193.49659","153.75507","               ---","3190.07031"
"BCA","BCA","16","3031.75414","312.33032","106.31703","               ---","3237.76742"
"BCA","BCA","17","3049.5726","306.22055","122.93606","               ---","3232.85709"
"BCA","BCA","18","3038.16143","303.65196","156.27874","               ---","3185.53465"
"BCA","BCA","19","2994.14263","276.63737","187.32303","               ---","3083.45697"
"BCA","BCA","20","2933.05408","251.01532","164.72342","               ---","3019.34598"
"BCA","BCA","21","2935.1893","236.8302","129.63818","               ---","3042.38131"
"BCA","BCA","22","2881.73161","201.58933","129.09219","               ---","2954.22875"
"BCA","BCA","23","2780.19939","138.95235","115.36285","               ---","2803.78889"
"BCA","BCA","24","2633.16027","91.82542","88.65454","               ---","2636.33115"
"BCS","BCA","1","521.91882","0","0","               ---","521.91882"
"BCS","BCA","2","499.96416","0","0","               ---","499.96416"
"BCS","BCA","3","479.44855","0","0","               ---","479.44855"
"BCS","BCA","4","463.09293","0","0","               ---","463.09293"
"BCS","BCA","5","450.0776","0","0","               ---","450.0776"
"BCS","BCA","6","436.3043","0","0","               ---","436.3043"
"BCS","BCA","7","423.25411","0","0","               ---","423.25411"
"BCS","BCA","8","445.58973","0","0","               ---","445.58973"
"BCS","BCA","9","480.07659","0","0","               ---","480.07659"
"BCS","BCA","10","512.37442","0","0","               ---","512.37442"
"BCS","BCA","11","535.57877","0","0","               ---","535.57877"
"BCS","BCA","12","552.02094","0","0","               ---","552.02094"
"BCS","BCA","13","571.77518","0","0","               ---","571.77518"
"BCS","BCA","14","589.78305","0","0","               ---","589.78305"
"BCS","BCA","15","609.16734","0","0","               ---","609.16734"
"BCS","BCA","16","615.71898","0","0","               ---","615.71898"
"BCS","BCA","17","617.51965","0","0","               ---","617.51965"
"BCS","BCA","18","603.80705","0","0","               ---","603.80705"
"BCS","BCA","19","577.5409","0","0","               ---","577.5409"
"BCS","BCA","20","578.70436","0","0","               ---","578.70436"
"BCS","BCA","21","586.40281","0","0","               ---","586.40281"
"BCS","BCA","22","590.37918","0","0","               ---","590.37918"
"BCS","BCA","23","581.5842","0","0","               ---","581.5842"
"BCS","BCA","24","558.30714","0","0","               ---","558.30714"
"SIN","CEN","1","4647.80157","0","0","           860.871","5508.67257"
"SIN","CEN","2","4143.46763","0","0","          1136.915","5280.38263"
"SIN","CEN","3","3980.03958","0","0","          1053.079","5033.11858"
"SIN","CEN","4","3870.59318","0","0","           955.198","4825.79118"
"SIN","CEN","5","3873.41096","0","0","           995.682","4869.09296"
"SIN","CEN","6","4049.45625","0","0","           1085.26","5134.71625"
"SIN","CEN","7","4346.91394","0","0","          1216.389","5563.30294"
"SIN","CEN","8","4430.16213","0","0","          1480.478","5910.64013"
"SIN","CEN","9","4408.42465","0","0","          1988.448","6396.87265"
"SIN","CEN","10","4607.93891","0","0","          2145.158","6753.09691"
"SIN","CEN","11","4864.82459","0","0","          2177.658","7042.48259"
"SIN","CEN","12","4887.33281","0","0","          2368.162","7255.49481"
