"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 05/dic/2024"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/dic/2024 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 21/11/2024)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1425.42594","47.83279","40.37965","               ---","1432.87908"
"BCA","BCA","2","1389.31145","42.42653","40.80408","               ---","1390.9339"
"BCA","BCA","3","1361.43358","43.83458","38.89853","               ---","1366.36964"
"BCA","BCA","4","1352.0601","41.43124","31.4944","               ---","1361.99695"
"BCA","BCA","5","1376.97195","31.15273","32.41808","               ---","1375.7066"
"BCA","BCA","6","1427.85411","41.73336","35.79617","               ---","1433.7913"
"BCA","BCA","7","1408.70482","110","8.15125","               ---","1510.55357"
"BCA","BCA","8","1559.50607","78.12093","36.20943","               ---","1601.41756"
"BCA","BCA","9","1621.2495","19.82384","0","               ---","1641.07334"
"BCA","BCA","10","1626.78824","79.83084","50.57433","               ---","1656.04475"
"BCA","BCA","11","1536.77102","218.05001","73.27956","               ---","1681.54147"
"BCA","BCA","12","1491.81852","285.62374","82.12117","               ---","1695.32109"
"BCA","BCA","13","1530.75059","217.94495","45.68867","               ---","1703.00687"
"BCA","BCA","14","1555.18489","229.33954","58.63109","               ---","1725.89335"
"BCA","BCA","15","1576.03898","193.57801","41.043","               ---","1728.57399"
"BCA","BCA","16","1572.25386","236.43403","69.22753","               ---","1739.46036"
"BCA","BCA","17","1407.70331","359.02047","29.26607","               ---","1737.45771"
"BCA","BCA","18","1580.64338","325.34011","95.35831","               ---","1810.62517"
"BCA","BCA","19","1555.62315","332.82346","99.08691","               ---","1789.3597"
"BCA","BCA","20","1481.76561","360.00014","77.03772","               ---","1764.72803"
"BCA","BCA","21","1388.66839","412.30233","54.16282","               ---","1746.8079"
"BCA","BCA","22","1532.09968","155.08859","0","               ---","1687.18827"
"BCA","BCA","23","1525.38691","82.50981","9.46266","               ---","1598.43406"
"BCA","BCA","24","1473.68153","44.4641","6.37231","               ---","1511.77331"
"BCS","BCA","1","266.56061","0","0","               ---","266.56061"
"BCS","BCA","2","254.96198","0","0","               ---","254.96198"
"BCS","BCA","3","247.03447","0","0","               ---","247.03447"
"BCS","BCA","4","243.13589","0","0","               ---","243.13589"
"BCS","BCA","5","242.04228","0","0","               ---","242.04228"
"BCS","BCA","6","255.36522","0","0","               ---","255.36522"
"BCS","BCA","7","272.94232","0","0","               ---","272.94232"
"BCS","BCA","8","287.07199","0","0","               ---","287.07199"
"BCS","BCA","9","301.16529","0","0","               ---","301.16529"
"BCS","BCA","10","318.58951","0","0","               ---","318.58951"
"BCS","BCA","11","332.38985","0","0","               ---","332.38985"
"BCS","BCA","12","343.48356","0","0","               ---","343.48356"
"BCS","BCA","13","350.27724","0","0","               ---","350.27724"
"BCS","BCA","14","356.38139","0","0","               ---","356.38139"
"BCS","BCA","15","363.7087","0","0","               ---","363.7087"
"BCS","BCA","16","369.64454","0","0","               ---","369.64454"
"BCS","BCA","17","368.22713","0","0","               ---","368.22713"
"BCS","BCA","18","367.09637","0","0","               ---","367.09637"
"BCS","BCA","19","374.87301","0","0","               ---","374.87301"
"BCS","BCA","20","366.87892","0","0","               ---","366.87892"
"BCS","BCA","21","357.05216","0","0","               ---","357.05216"
"BCS","BCA","22","339.80327","0","0","               ---","339.80327"
"BCS","BCA","23","316.73082","0","0","               ---","316.73082"
"BCS","BCA","24","291.93711","0","0","               ---","291.93711"
"SIN","CEN","1","3742.18922","0","0","          2319.999","6062.18822"
"SIN","CEN","2","3489.10311","0","0","          2241.883","5730.98611"
"SIN","CEN","3","3267.67841","0","0","          2440.494","5708.17241"
"SIN","CEN","4","3176.1388","0","0","          2413.732","5589.8708"
"SIN","CEN","5","3276.59816","0","0","          2378.207","5654.80516"
"SIN","CEN","6","3417.89129","0","0","          2527.507","5945.39829"
"SIN","CEN","7","3776.9469","0","0","          2612.475","6389.4219"
"SIN","CEN","8","4015.79737","0","0","          2432.292","6448.08937"
"SIN","CEN","9","4181.08595","0","0","          2647.488","6828.57395"
"SIN","CEN","10","4169.07393","0","0","          2804.629","6973.70293"
"SIN","CEN","11","4196.16477","0","0","          2999.144","7195.30877"
"SIN","CEN","12","4210.89032","0","0","          3153.596","7364.48632"
"SIN","CEN","13","4289.4276","0","0","          3068.001","7357.4286"
"SIN","CEN","14","4297.37247","0","0","          3069.778","7367.15047"
"SIN","CEN","15","4312.17484","0","0","          3058.271","7370.44584"
"SIN","CEN","16","4300.85096","0","0","          3037.549","7338.39996"
"SIN","CEN","17","4357.25061","0","0","           3171.52","7528.77061"
"SIN","CEN","18","4506.72013","0","0","          3217.334","7724.05413"
"SIN","CEN","19","4702.91272","0","0","          3224.689","7927.60172"
"SIN","CEN","20","4776.135","0","0","          3210.171","7986.306"
"SIN","CEN","21","4777.96826","0","0","          3025.209","7803.17726"
"SIN","CEN","22","4790.3159","0","0","          2774.463","7564.7789"
"SIN","CEN","23","4384.93136","0","0","          2594.974","6979.90536"
"SIN","CEN","24","4104.66094","0","0","          2534.229","6638.88994"
"SIN","NES","1","9242.6871","0","0.78614","         -3586.923","5654.97796"
"SIN","NES","2","8815.55262","0","0.78704","         -3326.875","5487.89058"
"SIN","NES","3","8654.95587","0","0.78117","         -3339.844","5314.3307"
"SIN","NES","4","8449.30354","0","0.77912","         -3197.501","5251.02342"
"SIN","NES","5","8450.10851","0","0.7801","         -3188.121","5261.20741"
"SIN","NES","6","8590.91629","0","0.78237","         -3291.448","5298.68593"
"SIN","NES","7","8920.99951","0","0.77854","         -3391.874","5528.34697"
"SIN","NES","8","8838.61069","0.10366","0.68592","         -3158.312","5679.71642"
"SIN","NES","9","8428.7673","15.30099","0.69267","         -2545.161","5898.21462"
"SIN","NES","10","8077.49741","15.28044","0.68534","         -2178.015","5914.07751"
"SIN","NES","11","8086.54378","15.2485","0.68976","         -2158.974","5942.12852"
"SIN","NES","12","8204.47346","15.21724","0.69448","         -2253.378","5965.61822"
"SIN","NES","13","8248.73574","15.19363","0.69935","         -2182.107","6081.12302"
"SIN","NES","14","8435.81621","15.16576","0.70273","         -2166.793","6283.48623"
"SIN","NES","15","8781.09405","15","0.80254","           -2508.1","6287.19152"
"SIN","NES","16","9052.89642","0","0.78688","         -2580.196","6471.91354"
"SIN","NES","17","9431.49424","0","0.78424","         -2873.731","6556.979"
"SIN","NES","18","9924.43892","0","0.78563","          -3329.08","6594.57329"
"SIN","NES","19","10015.45889","0","0.77968","         -3494.678","6520.00122"
"SIN","NES","20","10383.49534","0","0.7784","         -3982.499","6400.21794"
"SIN","NES","21","10801.90572","0","0.77499","         -4457.258","6343.87273"
"SIN","NES","22","10745.83344","0","0.77909","         -4539.983","6205.07136"
"SIN","NES","23","10634.71366","0","0.77825","         -4596.136","6037.79941"
"SIN","NES","24","10139.17892","0","0.78447","         -4242.655","5895.73945"
"SIN","NOR","1","3047.95355","0","0","           -804.62","2243.33355"
"SIN","NOR","2","2890.58151","0","0","          -732.306","2158.27551"
"SIN","NOR","3","2945.22262","0","0","          -844.662","2100.56062"
"SIN","NOR","4","2939.99696","0","0","          -881.358","2058.63896"
"SIN","NOR","5","2870.08114","0","0","           -853.53","2016.55114"
"SIN","NOR","6","2862.95393","0","0","          -840.884","2022.06993"
"SIN","NOR","7","2887.94611","0","0","          -817.187","2070.75911"
"SIN","NOR","8","2924.09642","0","0","          -792.815","2131.28142"
"SIN","NOR","9","2891.57486","0","0","          -700.759","2190.81586"
"SIN","NOR","10","3214.28338","0","0","          -935.533","2278.75038"
"SIN","NOR","11","3251.51985","0","0","          -921.055","2330.46485"
"SIN","NOR","12","3376.32284","0","0","          -992.955","2383.36784"
"SIN","NOR","13","3389.4664","0","0","           -957.94","2431.5264"
"SIN","NOR","14","3578.44139","0","0","         -1099.202","2479.23939"
"SIN","NOR","15","3726.08428","0","0","         -1187.286","2538.79828"
"SIN","NOR","16","3715.53804","0","0","         -1114.695","2600.84304"
"SIN","NOR","17","3702.10381","0","0","         -1065.487","2636.61681"
"SIN","NOR","18","3735.91037","0","0","         -1109.659","2626.25137"
"SIN","NOR","19","3633.36115","0","0","         -1038.379","2594.98215"
"SIN","NOR","20","3484.49467","0","0","          -904.627","2579.86767"
"SIN","NOR","21","3581.02816","0","0","         -1030.554","2550.47416"
"SIN","NOR","22","3586.41668","0","0","          -1051.33","2535.08668"
"SIN","NOR","23","3352.43173","0","0","          -881.797","2470.63473"
"SIN","NOR","24","3325.94459","0","0","          -941.827","2384.11759"
"SIN","NTE","1","3121.72995","0","0","          -205.298","2916.43195"
"SIN","NTE","2","2980.30879","0","0","          -167.167","2813.14179"
"SIN","NTE","3","2931.6896","0","0","          -163.256","2768.4336"
"SIN","NTE","4","2877.37316","0","0","          -157.285","2720.08816"
"SIN","NTE","5","2833.42438","0","0","          -110.943","2722.48138"
"SIN","NTE","6","2907.94238","0","0","          -120.531","2787.41138"
"SIN","NTE","7","3010.93015","0","0","           -81.772","2929.15815"
"SIN","NTE","8","3032.614","0","0","            54.292","3086.906"
"SIN","NTE","9","3581.03531","0","0","          -444.905","3136.13031"
"SIN","NTE","10","4086.46019","0","0","          -970.609","3115.85119"
"SIN","NTE","11","3987.8957","0","0","          -943.427","3044.4687"
"SIN","NTE","12","4008.0395","0","0","          -996.631","3011.4085"
"SIN","NTE","13","4065.23475","0","0","         -1081.102","2984.13275"
"SIN","NTE","14","4009.19012","0","0","         -1046.349","2962.84112"
"SIN","NTE","15","3917.1317","0","0","          -920.731","2996.4007"
"SIN","NTE","16","3907.92686","0","0","          -867.127","3040.79986"
"SIN","NTE","17","3694.47873","0","0","          -596.213","3098.26573"
"SIN","NTE","18","3089.48228","0","0","            63.581","3153.06328"
"SIN","NTE","19","3006.39079","0","0","           252.279","3258.66979"
"SIN","NTE","20","3014.04864","0","0","           292.505","3306.55364"
"SIN","NTE","21","3068.63258","0","0","           237.086","3305.71858"
"SIN","NTE","22","3051.90648","0","0","           192.921","3244.82748"
"SIN","NTE","23","2984.94877","0","0","           165.546","3150.49477"
"SIN","NTE","24","2940.81117","0","0","            80.039","3020.85017"
"SIN","OCC","1","5018.50702","0","0","          3449.104","8467.61102"
"SIN","OCC","2","4862.46546","0","0","          3357.185","8219.65046"
"SIN","OCC","3","4769.60875","0","0","           3276.68","8046.28875"
"SIN","OCC","4","4668.48313","0","0","          3326.196","7994.67913"
"SIN","OCC","5","4583.54291","0","0","           3375.24","7958.78291"
"SIN","OCC","6","4587.95578","0","0","          3473.764","8061.71978"
"SIN","OCC","7","4872.3153","0","0","          3553.125","8425.4403"
"SIN","OCC","8","5143.97222","0","0","          3595.569","8739.54122"
"SIN","OCC","9","6043.4309","0","0","          3019.342","9062.7729"
"SIN","OCC","10","6511.1163","0","0","          2657.614","9168.7303"
"SIN","OCC","11","6653.32541","0","0","          2397.423","9050.74841"
"SIN","OCC","12","6638.67602","0","0","          2427.868","9066.54402"
"SIN","OCC","13","6409.84981","0","0","          2749.035","9158.88481"
"SIN","OCC","14","6392.34301","0","0","          2901.971","9294.31401"
"SIN","OCC","15","6378.66283","0","0","           3069.27","9447.93283"
"SIN","OCC","16","6318.33562","0","0","          3341.032","9659.36762"
"SIN","OCC","17","6622.8035","0","0","          3246.478","9869.2815"
"SIN","OCC","18","6098.32137","0","0","          3787.213","9885.53437"
"SIN","OCC","19","5871.70685","0","0","           4102.13","9973.83685"
"SIN","OCC","20","5792.50556","0","0","           4214.03","10006.53556"
"SIN","OCC","21","5170.02823","0","0","          4681.181","9851.20923"
"SIN","OCC","22","5130.42292","0","0","           4373.88","9504.30292"
"SIN","OCC","23","4840.34159","0","0","          4366.668","9207.00959"
"SIN","OCC","24","4720.54615","0","0","          4122.939","8843.48515"
"SIN","ORI","1","8393.02539","4.18896","189","         -1931.062","6277.15236"
"SIN","ORI","2","8295.86709","0","192.18232","          -2034.42","6069.26477"
"SIN","ORI","3","8016.95914","0","193.66464","         -1938.512","5884.7825"
"SIN","ORI","4","7935.08816","5.06142","234","         -2006.984","5699.16558"
"SIN","ORI","5","7997.3395","0","238.79311","         -2055.053","5703.49339"
"SIN","ORI","6","8096.7405","0","254.43395","         -2166.508","5675.79855"
"SIN","ORI","7","8030.12961","0","240.13434","         -2090.167","5699.82827"
"SIN","ORI","8","8321.22156","0","243.94718","         -2326.626","5750.64838"
"SIN","ORI","9","8424.90429","2.69059","240","         -2237.905","5949.68988"
"SIN","ORI","10","8016.94433","0","247.67794","         -1656.886","6112.38038"
"SIN","ORI","11","8082.45252","0","245.21874","         -1640.911","6196.32278"
"SIN","ORI","12","8138.55757","3.15609","240","           -1710.7","6191.01366"
