"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 25/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 25/jun/2025 12:25:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 0 (Dia de Operacion: 11/06/2025)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1966.28182","280.59028","108.21449","               ---","2138.65761"
"BCA","BCA","2","2024.96845","49.84366","34.12964","               ---","2040.68247"
"BCA","BCA","3","1875.63681","126.22813","50.18586","               ---","1951.67908"
"BCA","BCA","4","1818.9938","129.4406","59.16249","               ---","1889.27191"
"BCA","BCA","5","1762.91162","147.55611","63.28366","               ---","1847.18407"
"BCA","BCA","6","1751.42083","159.5449","76.07907","               ---","1834.88666"
"BCA","BCA","7","1786.89986","151.1319","53.11028","               ---","1884.92148"
"BCA","BCA","8","1879.22766","248.18149","87.23303","               ---","2040.17613"
"BCA","BCA","9","1940.22702","359.56628","120.8502","               ---","2178.9431"
"BCA","BCA","10","1948.04217","495.33648","148.43066","               ---","2294.94799"
"BCA","BCA","11","2064.9042","410.31127","51.50175","               ---","2423.71372"
"BCA","BCA","12","2223.00264","427.71747","90.44133","               ---","2560.27878"
"BCA","BCA","13","2327.71768","424.47154","63.56449","               ---","2688.62474"
"BCA","BCA","14","2441.88103","416.83554","81.26027","               ---","2777.45629"
"BCA","BCA","15","2519.26769","397.29736","51.44325","               ---","2865.1218"
"BCA","BCA","16","2563.78256","396.86295","38.37159","               ---","2922.27392"
"BCA","BCA","17","2580.08787","384.63799","40.92828","               ---","2923.79758"
"BCA","BCA","18","2551.93469","352.84202","34.62758","               ---","2870.14913"
"BCA","BCA","19","2499.24328","308.30236","6.31441","               ---","2801.23123"
"BCA","BCA","20","2415.86966","344.16832","36.30675","               ---","2723.73123"
"BCA","BCA","21","2360.69143","447.05993","100.33962","               ---","2707.41174"
"BCA","BCA","22","2278.77175","410.62834","70.28437","               ---","2619.11572"
"BCA","BCA","23","2104.1541","443.25315","95.25714","               ---","2452.15012"
"BCA","BCA","24","1963.79352","390.73641","59.98434","               ---","2294.54558"
"BCS","BCA","1","441.86612","0","0","               ---","441.86612"
"BCS","BCA","2","416.04933","0","0","               ---","416.04933"
"BCS","BCA","3","393.17719","0","0","               ---","393.17719"
"BCS","BCA","4","379.09622","0","0","               ---","379.09622"
"BCS","BCA","5","367.95188","0","0","               ---","367.95188"
"BCS","BCA","6","361.14572","0","0","               ---","361.14572"
"BCS","BCA","7","361.65032","0","0","               ---","361.65032"
"BCS","BCA","8","387.19187","0","0","               ---","387.19187"
"BCS","BCA","9","419.106","0","0","               ---","419.106"
"BCS","BCA","10","446.27349","0","0","               ---","446.27349"
"BCS","BCA","11","469.95864","0","0","               ---","469.95864"
"BCS","BCA","12","484.24145","0","0","               ---","484.24145"
"BCS","BCA","13","499.89792","0","0","               ---","499.89792"
"BCS","BCA","14","524.82766","0","0","               ---","524.82766"
"BCS","BCA","15","547.69269","0","0","               ---","547.69269"
"BCS","BCA","16","565.15867","0","0","               ---","565.15867"
"BCS","BCA","17","568.94214","0","0","               ---","568.94214"
"BCS","BCA","18","550.85802","0","0","               ---","550.85802"
"BCS","BCA","19","521.27178","0","0","               ---","521.27178"
"BCS","BCA","20","507.91527","0","0","               ---","507.91527"
"BCS","BCA","21","507.21527","0","0","               ---","507.21527"
"BCS","BCA","22","505.15301","0","0","               ---","505.15301"
"BCS","BCA","23","494.1615","0","0","               ---","494.1615"
"BCS","BCA","24","470.62991","0","0","               ---","470.62991"
"SIN","CEN","1","5395.48777","0","0","          1193.326","6588.81377"
"SIN","CEN","2","5169.93262","0","0","          1126.871","6296.80362"
"SIN","CEN","3","4856.81641","0","0","          1141.112","5997.92841"
"SIN","CEN","4","4776.30684","0","0","          1202.155","5978.46184"
"SIN","CEN","5","4989.34265","0","0","           973.377","5962.71965"
"SIN","CEN","6","5223.75507","0","0","           961.299","6185.05407"
"SIN","CEN","7","5361.46307","0","0","          1173.898","6535.36107"
"SIN","CEN","8","5410.99263","0","0","          1360.016","6771.00863"
"SIN","CEN","9","5469.24968","0","0","          1601.358","7070.60768"
"SIN","CEN","10","5434.58769","0","0","          1898.274","7332.86169"
"SIN","CEN","11","5465.40966","0","0","          2063.038","7528.44766"
"SIN","CEN","12","5493.19084","0","0","          2274.793","7767.98384"
"SIN","CEN","13","5532.37785","0","0","          2113.634","7646.01185"
"SIN","CEN","14","5821.91033","0","0","          1930.651","7752.56133"
"SIN","CEN","15","5835.30179","0","0","          2084.942","7920.24379"
"SIN","CEN","16","5839.36343","0","0","          2185.937","8025.30043"
"SIN","CEN","17","5849.90204","0","0","          2159.798","8009.70004"
"SIN","CEN","18","5829.62979","0","0","          2291.892","8121.52179"
"SIN","CEN","19","5869.57217","0","0","          1999.139","7868.71117"
"SIN","CEN","20","5924.63889","0","0","          2064.502","7989.14089"
"SIN","CEN","21","6085.91699","0","0","          2070.413","8156.32999"
"SIN","CEN","22","6151.43897","0","0","          1773.242","7924.68097"
"SIN","CEN","23","6132.70131","0","0","          1422.022","7554.72331"
"SIN","CEN","24","6098.00268","0","0","           868.931","6966.93368"
"SIN","NES","1","12721.45171","181","4.27684","         -3284.178","9613.99687"
"SIN","NES","2","12807.71685","59.01162","0.99487","         -3596.646","9269.0876"
"SIN","NES","3","12436.11339","37.13073","0.09953","         -3478.241","8994.90359"
"SIN","NES","4","11778.14628","54","1.3714","         -3205.353","8625.42188"
"SIN","NES","5","11612.97399","6.67354","0.09978","         -3349.261","8270.28675"
"SIN","NES","6","11360.96303","25","0.6718","         -3387.384","7997.90723"
"SIN","NES","7","11138.15307","20","0.50945","         -3354.368","7803.27562"
"SIN","NES","8","11216.058","20","0.50437","         -3333.606","7901.94763"
"SIN","NES","9","11224.96038","20","0.50248","         -3151.027","8093.4309"
"SIN","NES","10","10662.25657","20","0.51883","         -2407.213","8274.52474"
"SIN","NES","11","10551.79285","20","0.64144","          -2192.84","8378.31141"
