"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 15/nov/2023"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 15/nov/2023 12:35:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 2 (Dia de Operacion: 26/07/2023)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","2653.83973","70.01448","57.36091","               ---","2666.4933"
"BCA","BCA","2","2536.93651","30.29057","18.21273","               ---","2549.01435"
"BCA","BCA","3","2449.00663","17.65467","21.0171","               ---","2445.6442"
"BCA","BCA","4","2249.81583","254.50945","113.26758","               ---","2391.0577"
"BCA","BCA","5","2127.5052","451.19098","244.37498","               ---","2334.3212"
"BCA","BCA","6","2098.61459","447.92541","256.00012","               ---","2290.53988"
"BCA","BCA","7","2046.88467","523.97764","267.16001","               ---","2303.7023"
"BCA","BCA","8","2058.80016","562.12862","125.29002","               ---","2495.63876"
"BCA","BCA","9","2138.95235","665.25889","104.27193","               ---","2699.93931"
"BCA","BCA","10","2280.09405","671.82075","76.30846","               ---","2875.60634"
"BCA","BCA","11","2475.08657","677.55966","94.32941","               ---","3058.31682"
"BCA","BCA","12","2598.3156","686.50012","94.05632","               ---","3190.75939"
"BCA","BCA","13","2689.0201","658.89796","73.42393","               ---","3274.49413"
"BCA","BCA","14","2745.70711","622.61026","58.82017","               ---","3309.4972"
"BCA","BCA","15","2770.79696","595.23377","0","               ---","3366.03073"
"BCA","BCA","16","2813.55745","617.71764","38.48855","               ---","3392.78653"
"BCA","BCA","17","2779.07494","662.34602","55.9838","               ---","3385.43716"
"BCA","BCA","18","2756.81665","703.15539","141.88173","               ---","3318.09031"
"BCA","BCA","19","2759.06639","553.0455","96.24277","               ---","3215.86912"
"BCA","BCA","20","2817.73977","520.32556","190.39807","               ---","3147.66726"
"BCA","BCA","21","2859.92277","440.92866","143.90121","               ---","3156.95022"
"BCA","BCA","22","2702.32254","556.77612","175.37188","               ---","3083.72678"
"BCA","BCA","23","2680.02338","401.80331","149.79471","               ---","2932.03198"
"BCA","BCA","24","2600.6102","270.70592","97.28109","               ---","2774.03503"
"BCS","BCA","1","540.91893","0","0","               ---","540.91893"
"BCS","BCA","2","520.13036","0","0","               ---","520.13036"
"BCS","BCA","3","499.76569","0","0","               ---","499.76569"
"BCS","BCA","4","484.74911","0","0","               ---","484.74911"
"BCS","BCA","5","468.26107","0","0","               ---","468.26107"
