"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 18/abr/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 18/abr/2025 12:35:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 2 (Dia de Operacion: 27/12/2024)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1263.19352","10.81817","0","               ---","1274.01169"
"BCA","BCA","2","1220.67965","4.62758","0","               ---","1225.30723"
"BCA","BCA","3","1185.46882","1.07845","0","               ---","1186.54727"
"BCA","BCA","4","1174.49828","3.00518","0","               ---","1177.50346"
"BCA","BCA","5","1170.48007","2.93237","0","               ---","1173.41243"
"BCA","BCA","6","1207.85736","4.29945","0","               ---","1212.15681"
"BCA","BCA","7","1250.46237","8.37771","0","               ---","1258.84008"
"BCA","BCA","8","1327.70166","0","4.51068","               ---","1323.19098"
"BCA","BCA","9","1345.89555","44.31574","0","               ---","1390.21129"
"BCA","BCA","10","1389.14239","28.62732","0","               ---","1417.7697"
"BCA","BCA","11","1457.69713","0","3.39319","               ---","1454.30394"
"BCA","BCA","12","1484.58985","0","15.75414","               ---","1468.83571"
"BCA","BCA","13","1504.96963","0","13.15966","               ---","1491.80997"
"BCA","BCA","14","1518.02716","0","12.36726","               ---","1505.6599"
"BCA","BCA","15","1477.43569","8.38852","0","               ---","1485.82422"
"BCA","BCA","16","1483.52571","0","0.28628","               ---","1483.23943"
"BCA","BCA","17","1466.70584","60","7.67832","               ---","1519.02751"
"BCA","BCA","18","1541.32906","60","0.46391","               ---","1600.86515"
"BCA","BCA","19","1552.6155","40.72455","0","               ---","1593.34005"
"BCA","BCA","20","1532.77258","52.14005","0","               ---","1584.91263"
"BCA","BCA","21","1514.77082","44.58025","0","               ---","1559.35106"
"BCA","BCA","22","1512.65847","2.64103","0","               ---","1515.2995"
"BCA","BCA","23","1432.51469","0","0.22844","               ---","1432.28625"
"BCA","BCA","24","1355.49903","0","4.17711","               ---","1351.32192"
"BCS","BCA","1","259.64032","0","0","               ---","259.64032"
"BCS","BCA","2","248.78453","0","0","               ---","248.78453"
"BCS","BCA","3","242.00714","0","0","               ---","242.00714"
"BCS","BCA","4","238.03933","0","0","               ---","238.03933"
"BCS","BCA","5","237.22937","0","0","               ---","237.22937"
"BCS","BCA","6","244.5283","0","0","               ---","244.5283"
"BCS","BCA","7","256.78855","0","0","               ---","256.78855"
"BCS","BCA","8","273.63036","0","0","               ---","273.63036"
"BCS","BCA","9","292.88605","0","0","               ---","292.88605"
"BCS","BCA","10","309.33597","0","0","               ---","309.33597"
"BCS","BCA","11","319.39099","0","0","               ---","319.39099"
"BCS","BCA","12","325.45743","0","0","               ---","325.45743"
"BCS","BCA","13","327.96273","0","0","               ---","327.96273"
"BCS","BCA","14","328.51759","0","0","               ---","328.51759"
"BCS","BCA","15","332.15916","0","0","               ---","332.15916"
"BCS","BCA","16","334.94819","0","0","               ---","334.94819"
"BCS","BCA","17","336.70779","0","0","               ---","336.70779"
"BCS","BCA","18","339.6333","0","0","               ---","339.6333"
"BCS","BCA","19","354.13718","0","0","               ---","354.13718"
"BCS","BCA","20","347.97959","0","0","               ---","347.97959"
"BCS","BCA","21","336.65816","0","0","               ---","336.65816"
"BCS","BCA","22","319.84577","0","0","               ---","319.84577"
"BCS","BCA","23","297.53668","0","0","               ---","297.53668"
"BCS","BCA","24","275.08563","0","0","               ---","275.08563"
"SIN","CEN","1","3292.43688","0","0","          2382.676","5675.11288"
"SIN","CEN","2","3256.22015","0","0","          2012.678","5268.89815"
"SIN","CEN","3","3075.23183","0","0","          2171.364","5246.59583"
"SIN","CEN","4","3073.92769","0","0","          1939.723","5013.65069"
"SIN","CEN","5","3070.37797","0","0","          2051.585","5121.96297"
"SIN","CEN","6","3046.58204","0","0","          2213.528","5260.11004"
"SIN","CEN","7","3048.09868","0","0","          2537.062","5585.16068"
"SIN","CEN","8","3074.97077","0","0","          2440.028","5514.99877"
"SIN","CEN","9","3091.62528","0","0","          2736.393","5828.01828"
"SIN","CEN","10","2925.72001","0","0","          3222.215","6147.93501"
"SIN","CEN","11","2952.54436","0","0","          3454.235","6406.77936"
"SIN","CEN","12","3163.8246","0","0","           3262.23","6426.0546"
"SIN","CEN","13","3264.40587","0","0","          3212.903","6477.30887"
"SIN","CEN","14","3455.39066","0","0","          3118.637","6574.02766"
"SIN","CEN","15","3531.29154","0","0","              3029","6560.29154"
"SIN","CEN","16","3744.09684","0","0","           2852.21","6596.30684"
"SIN","CEN","17","3800.28681","0","0","          2975.317","6775.60381"
"SIN","CEN","18","4262.34594","0","0","          2514.877","6777.22294"
"SIN","CEN","19","4460.31199","0","0","          2635.075","7095.38699"
"SIN","CEN","20","4460.45275","0","0","          2822.618","7283.07075"
"SIN","CEN","21","4394.35395","0","0","          2832.962","7227.31595"
"SIN","CEN","22","4282.03847","0","0","          2685.893","6967.93147"
"SIN","CEN","23","3975.32425","0","0","          2594.993","6570.31725"
"SIN","CEN","24","3495.2988","0","0","          2559.717","6055.0158"
"SIN","NES","1","7865.31681","0","0.84519","         -2993.017","4871.45463"
"SIN","NES","2","7512.64619","0","0.85369","         -2848.466","4663.3265"
"SIN","NES","3","7315.13843","0","0.85442","         -2734.599","4579.68501"
"SIN","NES","4","6987.49343","0","0.8527","         -2509.924","4476.71673"
"SIN","NES","5","7054.08349","0","0.84885","         -2597.427","4455.80764"
"SIN","NES","6","7159.60096","0","0.84948","         -2681.332","4477.41947"
"SIN","NES","7","7575.82025","0","0.84453","          -2998.99","4575.98572"
"SIN","NES","8","7705.41006","0","0.84573","         -3014.629","4689.93533"
"SIN","NES","9","7465.40933","0","0.8466","         -2664.931","4799.63173"
"SIN","NES","10","7425.53408","0","0.83099","         -2499.853","4924.85009"
"SIN","NES","11","7465.28988","0","0.82471","         -2452.843","5011.62218"
"SIN","NES","12","7565.41276","0","0.81826","         -2534.339","5030.2555"
"SIN","NES","13","7766.2861","0","0.82126","         -2560.122","5205.34284"
"SIN","NES","14","7838.62986","0","0.82158","         -2595.822","5241.98629"
"SIN","NES","15","7832.88744","0","0.81932","         -2473.891","5358.17712"
"SIN","NES","16","7742.97985","0","0.82471","         -2227.628","5514.52714"
"SIN","NES","17","8118.81787","0","0.82897","         -2576.913","5541.0759"
"SIN","NES","18","8792.70225","0","0.82816","         -3235.004","5556.87009"
"SIN","NES","19","9160.76467","0","0.83552","         -3482.305","5677.62416"
"SIN","NES","20","9525.26461","0","0.83737","         -3965.796","5558.63124"
"SIN","NES","21","9784.48758","0","0.84144","         -4327.102","5456.54414"
"SIN","NES","22","9814.94557","0","0.83692","         -4484.335","5329.77365"
"SIN","NES","23","9865.85247","0","0.83583","          -4590.01","5275.00664"
"SIN","NES","24","9369.37217","0.00974","0.74034","         -4202.029","5166.61257"
"SIN","NOR","1","3307.25106","0","0","         -1279.638","2027.61306"
"SIN","NOR","2","3171.39247","0","0","         -1227.747","1943.64547"
"SIN","NOR","3","3112.80638","0","0","         -1227.689","1885.11738"
"SIN","NOR","4","3116.39316","0","0","         -1272.129","1844.26416"
"SIN","NOR","5","3105.38835","0","0","           -1293.8","1811.58835"
"SIN","NOR","6","3118.55988","0","0","         -1298.674","1819.88588"
"SIN","NOR","7","3169.82735","0","0","         -1305.094","1864.73335"
"SIN","NOR","8","3140.46789","0","0","         -1229.696","1910.77189"
"SIN","NOR","9","3069.92101","0","0","         -1107.982","1961.93901"
"SIN","NOR","10","3416.80134","0","0","         -1359.972","2056.82934"
"SIN","NOR","11","3486.66067","0","0","           -1365.3","2121.36067"
"SIN","NOR","12","3463.19933","0","0","         -1329.215","2133.98433"
"SIN","NOR","13","3428.54119","0","0","         -1295.315","2133.22619"
"SIN","NOR","14","3444.13235","0","0","         -1311.645","2132.48735"
"SIN","NOR","15","3387.37704","0","0","         -1229.232","2158.14504"
"SIN","NOR","16","3222.9447","0","0","         -1046.139","2176.8057"
"SIN","NOR","17","3232.43576","0","0","         -1014.867","2217.56876"
"SIN","NOR","18","3089.07405","0","0","          -861.131","2227.94305"
"SIN","NOR","19","3153.31271","0","0","          -889.418","2263.89471"
"SIN","NOR","20","3240.42922","0","0","          -933.202","2307.22722"
"SIN","NOR","21","3182.53925","0","0","          -905.097","2277.44225"
"SIN","NOR","22","3149.71546","0","0","          -922.542","2227.17346"
"SIN","NOR","23","3202.84194","0","0","         -1044.222","2158.61994"
"SIN","NOR","24","3201.91257","0","0","         -1120.765","2081.14757"
"SIN","NTE","1","2626.23108","0","0","           -81.357","2544.87408"
"SIN","NTE","2","2427.72562","0","0","            26.405","2454.13062"
"SIN","NTE","3","2335.23786","0","0","            48.947","2384.18486"
"SIN","NTE","4","2347.41586","0","0","             5.084","2352.49986"
"SIN","NTE","5","2369.34681","0","0","           -19.216","2350.13081"
"SIN","NTE","6","2392.46538","0","0","           -12.672","2379.79338"
"SIN","NTE","7","2417.27206","0","0","            45.086","2462.35806"
"SIN","NTE","8","2616.75449","0","0","           -28.461","2588.29349"
"SIN","NTE","9","2916.42756","0","0","          -266.303","2650.12456"
"SIN","NTE","10","3496.81679","0","0","          -827.354","2669.46279"
"SIN","NTE","11","3602.52518","0","0","          -980.257","2622.26818"
"SIN","NTE","12","3523.79798","0","0","          -945.658","2578.13998"
"SIN","NTE","13","3454.25503","0","0","          -942.661","2511.59403"
"SIN","NTE","14","3405.3556","0","0","          -899.037","2506.3186"
"SIN","NTE","15","3441.94361","0","0","           -908.16","2533.78361"
"SIN","NTE","16","3523.66632","0","0","          -933.346","2590.32032"
"SIN","NTE","17","3300.33747","0","0","          -657.557","2642.78047"
"SIN","NTE","18","2851.48069","0","0","          -159.713","2691.76769"
"SIN","NTE","19","2812.23776","0","0","            16.226","2828.46376"
"SIN","NTE","20","2900.56182","0","0","             8.794","2909.35582"
"SIN","NTE","21","3003.28088","0","0","            -97.21","2906.07088"
"SIN","NTE","22","2913.26679","0","0","           -59.878","2853.38879"
"SIN","NTE","23","2787.00043","0","0","            -6.667","2780.33343"
"SIN","NTE","24","2758.9407","0","0","           -86.489","2672.4517"
"SIN","OCC","1","5234.13876","0","0","          1795.991","7030.12976"
