"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 05/sep/2024"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 05/sep/2024 12:40:01 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 3 (Dia de Operacion: 01/02/2024)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","1398.32912","231.84172","226.65413","               ---","1403.51671"
"BCA","BCA","2","1343.98493","207.10673","200.13629","               ---","1350.95537"
"BCA","BCA","3","1314.01369","200.68782","190.40726","               ---","1324.29425"
"BCA","BCA","4","1301.81147","200.11312","188.76101","               ---","1313.16358"
"BCA","BCA","5","1323.30713","200.40921","194.76824","               ---","1328.9481"
"BCA","BCA","6","1354.69249","215.47098","204.61823","               ---","1365.54524"
"BCA","BCA","7","1284.89452","376.39295","218.47798","               ---","1442.80948"
"BCA","BCA","8","1345.6261","403.15209","212.17928","               ---","1536.59892"
"BCA","BCA","9","1320.02577","493.94381","214.51472","               ---","1599.45486"
"BCA","BCA","10","1364.85151","497.93754","217.75475","               ---","1645.0343"
"BCA","BCA","11","1403.70512","516.47161","225.76474","               ---","1694.41199"
"BCA","BCA","12","1425.04658","525.0155","234.29004","               ---","1715.77204"
"BCA","BCA","13","1428.39875","505.13031","219.49385","               ---","1714.0352"
"BCA","BCA","14","1440.72618","487.38333","200.11784","               ---","1727.99166"
"BCA","BCA","15","1422.48946","480.83184","177.99799","               ---","1725.32331"
"BCA","BCA","16","1334.84182","495.25855","119.16766","               ---","1710.93271"
"BCA","BCA","17","1285.68009","495.68058","90.27672","               ---","1691.08395"
"BCA","BCA","18","1271.73321","604.20272","165.3267","               ---","1710.60923"
"BCA","BCA","19","1290.28051","547.87366","106.17636","               ---","1731.97782"
"BCA","BCA","20","1327.02263","446.75898","49.88378","               ---","1723.89784"
"BCA","BCA","21","1308.939","435.83088","41.22797","               ---","1703.54191"
"BCA","BCA","22","1307.84809","407.15312","69.52287","               ---","1645.47834"
"BCA","BCA","23","1313.11534","263.60534","16.45483","               ---","1560.26585"
"BCA","BCA","24","1319.40261","222.44925","67.56153","               ---","1474.29033"
"BCS","BCA","1","260.67603","0","0","               ---","260.67603"
"BCS","BCA","2","248.56834","0","0","               ---","248.56834"
"BCS","BCA","3","241.95978","0","0","               ---","241.95978"
"BCS","BCA","4","238.46582","0","0","               ---","238.46582"
"BCS","BCA","5","237.77505","0","0","               ---","237.77505"
"BCS","BCA","6","248.19449","0","0","               ---","248.19449"
"BCS","BCA","7","265.79183","0","0","               ---","265.79183"
"BCS","BCA","8","279.85887","0","0","               ---","279.85887"
"BCS","BCA","9","296.89552","0","0","               ---","296.89552"
"BCS","BCA","10","309.48889","0","0","               ---","309.48889"
"BCS","BCA","11","318.79128","0","0","               ---","318.79128"
"BCS","BCA","12","326.6816","0","0","               ---","326.6816"
"BCS","BCA","13","330.74746","0","0","               ---","330.74746"
"BCS","BCA","14","335.4992","0","0","               ---","335.4992"
"BCS","BCA","15","339.62952","0","0","               ---","339.62952"
"BCS","BCA","16","345.38108","0","0","               ---","345.38108"
"BCS","BCA","17","346.07945","0","0","               ---","346.07945"
"BCS","BCA","18","341.31171","0","0","               ---","341.31171"
"BCS","BCA","19","349.12406","0","0","               ---","349.12406"
"BCS","BCA","20","349.53373","0","0","               ---","349.53373"
"BCS","BCA","21","339.22326","0","0","               ---","339.22326"
"BCS","BCA","22","323.75693","0","0","               ---","323.75693"
"BCS","BCA","23","301.07397","0","0","               ---","301.07397"
"BCS","BCA","24","277.84","0","0","               ---","277.84"
"SIN","CEN","1","3372.55354","0","0","          2759.836","6132.38954"
"SIN","CEN","2","3177.21893","0","0","          2701.061","5878.27993"
"SIN","CEN","3","3003.25525","0","0","          2587.599","5590.85425"
"SIN","CEN","4","3056.32795","0","0","          2570.388","5626.71595"
"SIN","CEN","5","3224.08035","0","0","          2489.982","5714.06235"
"SIN","CEN","6","3349.74969","0","0","          2624.046","5973.79569"
"SIN","CEN","7","3424.83442","0","0","          3057.991","6482.82542"
"SIN","CEN","8","3693.91258","0","0","          3033.497","6727.40958"
"SIN","CEN","9","3999.44559","0","0","           2984.02","6983.46559"
"SIN","CEN","10","3867.96073","0","0","          3410.698","7278.65873"
"SIN","CEN","11","3470.5144","0","0","          3760.783","7231.2974"
"SIN","CEN","12","3323.27893","0","0","          4153.809","7477.08793"
"SIN","CEN","13","3328.88992","0","0","          4124.474","7453.36392"
"SIN","CEN","14","3402.91978","0","0","           4175.15","7578.06978"
"SIN","CEN","15","3557.71176","0","0","          3934.541","7492.25276"
"SIN","CEN","16","3660.16979","0","0","           3863.51","7523.67979"
"SIN","CEN","17","3581.9456","0","0","          3971.342","7553.2876"
"SIN","CEN","18","3853.50397","0","0","          3572.945","7426.44897"
"SIN","CEN","19","4125.01371","0","0","          3505.842","7630.85571"
"SIN","CEN","20","4158.65517","0","0","          3870.212","8028.86717"
"SIN","CEN","21","4086.30437","0","0","          3798.716","7885.02037"
"SIN","CEN","22","4043.51822","0","0","          3611.307","7654.82522"
"SIN","CEN","23","3780.2784","0","0","          3283.787","7064.0654"
"SIN","CEN","24","3311.08801","0","0","          3287.394","6598.48201"
"SIN","NES","1","9411.84278","108","0.85657","         -4086.114","5432.87221"
"SIN","NES","2","9437.19386","108","1.41734","          -4257.24","5286.53652"
"SIN","NES","3","8817.33672","87","1.38833","          -3747.68","5155.26839"
"SIN","NES","4","8478.48209","57","0.68887","         -3375.515","5159.27822"
"SIN","NES","5","8334.70344","57","0.69009","         -3186.256","5204.75735"
"SIN","NES","6","9073.95062","57","1.29966","         -3889.085","5240.56596"
"SIN","NES","7","9665.9323","6.62189","0.78684","         -4233.664","5438.10334"
"SIN","NES","8","9999.91264","0","0.90058","         -4374.371","5624.64106"
"SIN","NES","9","10009.69785","0","0.90003","         -4279.199","5729.59882"
"SIN","NES","10","9256.26042","0","0.88449","         -3543.242","5712.13393"
"SIN","NES","11","9295.23641","0","0.88878","         -3608.934","5685.41363"
"SIN","NES","12","9358.0922","15","1.02022","         -3675.345","5696.72698"
"SIN","NES","13","9285.07339","15.0006","0.76296","         -3607.688","5691.62303"
"SIN","NES","14","9508.10934","15","0.75953","         -3784.111","5738.23881"
"SIN","NES","15","9760.00093","15","0.76068","         -3979.259","5794.98125"
"SIN","NES","16","9862.50381","15.04876","0.19394","         -4028.267","5849.09163"
"SIN","NES","17","10023.20084","50.16754","0.66798","         -4195.872","5876.8284"
"SIN","NES","18","10651.02642","78.67698","1.73571","         -4841.338","5886.62969"
"SIN","NES","19","10958.44991","178","1.26988","         -5165.917","5969.26303"
"SIN","NES","20","11143.63362","265","2.8158","         -5371.564","6034.25382"
"SIN","NES","21","11159.41535","265","2.99165","         -5481.627","5939.7967"
"SIN","NES","22","10957.56769","140.08281","0.80614","         -5256.415","5840.42936"
"SIN","NES","23","10597.92363","135","1.0792","         -5027.144","5704.70043"
"SIN","NES","24","10291.34414","135.1031","0.80685","         -4901.128","5524.5124"
"SIN","NOR","1","3019.52362","0","0","           -852.59","2166.93362"
"SIN","NOR","2","2942.30207","0","0","          -871.414","2070.88807"
"SIN","NOR","3","3011.17777","0","0","           -998.07","2013.10777"
"SIN","NOR","4","3068.99804","0","0","         -1097.182","1971.81604"
"SIN","NOR","5","3258.08737","0","0","         -1307.559","1950.52837"
"SIN","NOR","6","3279.6776","0","0","         -1318.264","1961.4136"
"SIN","NOR","7","3195.40726","0","0","         -1182.295","2013.11226"
"SIN","NOR","8","3285.22265","0","0","         -1193.409","2091.81365"
"SIN","NOR","9","3239.71295","0","0","          -1107.21","2132.50295"
"SIN","NOR","10","3624.29736","0","0","         -1397.843","2226.45436"
"SIN","NOR","11","3675.26444","0","0","          -1379.54","2295.72444"
"SIN","NOR","12","3642.70863","0","0","         -1332.242","2310.46663"
"SIN","NOR","13","3681.51639","0","0","         -1321.864","2359.65239"
"SIN","NOR","14","3723.95994","0","0","         -1342.881","2381.07894"
"SIN","NOR","15","3824.16598","0","0","         -1388.395","2435.77098"
