"Centro Nacional de Control de Energia"
"Estimacion de la Demanda Real del Sistema -Por Balance"
"Sistema Electrico Nacional"
"Reporte Diario"
"Fecha de Publicacion: 30/may/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 30/may/2025 12:50:03 hrs."
"Nota 1: Los acentos de este reporte se omiten intencionalmente por sistema."
"LIQUIDACION 4 (Dia de Operacion: 13/08/2023)"
"Sistema"," Area"," Hora"," Generacion (MWh)"," Importacion Total (MWh)"," Exportacion Total (MWh)"," Intercambio neto entre Gerencias (MWh)"," Estimacion de Demanda por Balance (MWh) "
"BCA","BCA","1","2151.20925","51.59784","38.50372","               ---","2164.30337"
"BCA","BCA","2","2071.57954","23.13029","20.65208","               ---","2074.05775"
"BCA","BCA","3","1990.61993","17.71818","13.51151","               ---","1994.8266"
"BCA","BCA","4","1920.23151","30.74528","20.7578","               ---","1930.21899"
"BCA","BCA","5","1890.77283","47.0402","55.20347","               ---","1882.60955"
"BCA","BCA","6","1915.07416","80.96295","154.6204","               ---","1841.41671"
"BCA","BCA","7","1900.53007","121.02904","232.02596","               ---","1789.53315"
"BCA","BCA","8","1907.6793","78.04913","149.2297","               ---","1836.49874"
"BCA","BCA","9","1978.82844","29.66996","69.13507","               ---","1939.36334"
"BCA","BCA","10","2064.92287","16.7248","6.32782","               ---","2075.31986"
"BCA","BCA","11","2226.16673","36.5938","31.47627","               ---","2231.28426"
"BCA","BCA","12","2353.978","39.15292","31.24433","               ---","2361.88659"
"BCA","BCA","13","2409.51106","79.86109","22.56531","               ---","2466.80684"
"BCA","BCA","14","2552.02768","48.24941","46.9177","               ---","2553.35939"
"BCA","BCA","15","2587.60203","83.35458","59.25854","               ---","2611.69808"
"BCA","BCA","16","2579.94008","93.05809","29.37827","               ---","2643.6199"
"BCA","BCA","17","2600.92038","114.53488","54.92498","               ---","2660.53028"
"BCA","BCA","18","2562.23809","68.24419","43.94216","               ---","2586.54011"
"BCA","BCA","19","2477.79426","52.85048","21.38349","               ---","2509.26125"
"BCA","BCA","20","2447.50012","99.68611","65.91742","               ---","2481.26881"
"BCA","BCA","21","2517.04333","88.73322","70.59489","               ---","2535.18166"
"BCA","BCA","22","2500.81275","64.21116","53.14698","               ---","2511.87693"
"BCA","BCA","23","2397.3097","72.24361","62.32897","               ---","2407.22434"
"BCA","BCA","24","2271.28944","77.19333","73.2188","               ---","2275.26397"
"BCS","BCA","1","537.61453","0","0","               ---","537.61453"
"BCS","BCA","2","518.70158","0","0","               ---","518.70158"
"BCS","BCA","3","501.64668","0","0","               ---","501.64668"
"BCS","BCA","4","486.90648","0","0","               ---","486.90648"
"BCS","BCA","5","473.42121","0","0","               ---","473.42121"
"BCS","BCA","6","457.95565","0","0","               ---","457.95565"
"BCS","BCA","7","440.63496","0","0","               ---","440.63496"
"BCS","BCA","8","453.15132","0","0","               ---","453.15132"
"BCS","BCA","9","470.42608","0","0","               ---","470.42608"
"BCS","BCA","10","491.34159","0","0","               ---","491.34159"
"BCS","BCA","11","506.01067","0","0","               ---","506.01067"
"BCS","BCA","12","520.82204","0","0","               ---","520.82204"
"BCS","BCA","13","537.14787","0","0","               ---","537.14787"
"BCS","BCA","14","551.45789","0","0","               ---","551.45789"
"BCS","BCA","15","567.52058","0","0","               ---","567.52058"
"BCS","BCA","16","577.85097","0","0","               ---","577.85097"
"BCS","BCA","17","581.17224","0","0","               ---","581.17224"
"BCS","BCA","18","574.79781","0","0","               ---","574.79781"
"BCS","BCA","19","559.49276","0","0","               ---","559.49276"
"BCS","BCA","20","567.76652","0","0","               ---","567.76652"
"BCS","BCA","21","584.41456","0","0","               ---","584.41456"
"BCS","BCA","22","591.31436","0","0","               ---","591.31436"
"BCS","BCA","23","584.62982","0","0","               ---","584.62982"
"BCS","BCA","24","564.80547","0","0","               ---","564.80547"
"SIN","CEN","1","3674.96069","0","0","          2218.692","5893.65269"
"SIN","CEN","2","3967.09995","0","0","          1762.196","5729.29595"
"SIN","CEN","3","3987.93614","0","0","          1504.785","5492.72114"
"SIN","CEN","4","3812.34448","0","0","          1583.251","5395.59548"
"SIN","CEN","5","3793.26629","0","0","          1588.015","5381.28129"
"SIN","CEN","6","3754.41753","0","0","          1631.299","5385.71653"
"SIN","CEN","7","3755.22055","0","0","           1405.73","5160.95055"
"SIN","CEN","8","3744.59082","0","0","           1549.37","5293.96082"
"SIN","CEN","9","3527.1443","0","0","          1891.598","5418.7423"
"SIN","CEN","10","3532.53169","0","0","          2248.837","5781.36869"
"SIN","CEN","11","3650.3038","0","0","          2416.562","6066.8658"
"SIN","CEN","12","3730.60803","0","0","          2335.444","6066.05203"
"SIN","CEN","13","3639.92315","0","0","          2617.199","6257.12215"
"SIN","CEN","14","3633.17201","0","0","          2495.846","6129.01801"
"SIN","CEN","15","3655.93336","0","0","          2610.336","6266.26936"
"SIN","CEN","16","3673.26312","0","0","          2606.384","6279.64712"
"SIN","CEN","17","3748.55914","0","0","          2591.308","6339.86714"
"SIN","CEN","18","3844.05132","0","0","          2688.705","6532.75632"
"SIN","CEN","19","4449.48774","0","0","          2044.467","6493.95474"
"SIN","CEN","20","5264.92897","0","0","          1833.305","7098.23397"
"SIN","CEN","21","5358.61486","0","0","          1782.093","7140.70786"
"SIN","CEN","22","5300.9489","0","0","          1534.797","6835.7459"
"SIN","CEN","23","4893.92992","0","0","          1686.587","6580.51692"
"SIN","CEN","24","4383.68257","0","0","          1846.524","6230.20657"
"SIN","NES","1","12717.81313","60","1","         -3709.756","9067.05713"
"SIN","NES","2","12528.31693","60","1","          -3636.07","8951.24693"
"SIN","NES","3","12135.08999","46","0","         -3458.842","8722.24799"
"SIN","NES","4","11710.94066","45","1","         -3396.209","8358.73166"
"SIN","NES","5","11380.96952","45","1","         -3186.873","8238.09652"
"SIN","NES","6","10816.40188","25","1","          -2860.58","7979.82188"
"SIN","NES","7","10131.44155","25","1","         -2460.778","7694.66355"
"SIN","NES","8","9301.24019","0","0","         -1781.885","7519.35519"
"SIN","NES","9","9167.12058","0","0","         -1617.751","7549.36958"
"SIN","NES","10","9101.49994","0","1","         -1401.813","7698.68694"
"SIN","NES","11","9221.00201","0","1","         -1396.981","7823.02101"
"SIN","NES","12","9391.60686","0","1","         -1542.486","7848.12086"
"SIN","NES","13","9483.60493","0","1","         -1403.517","8079.08793"
"SIN","NES","14","9618.40758","0","0","         -1232.548","8385.85958"
"SIN","NES","15","10085.07895","0","0","         -1571.955","8513.12395"
"SIN","NES","16","10533.4307","0","0","         -1836.019","8697.4117"
"SIN","NES","17","11546.66854","0","1","         -2802.894","8742.77454"
"SIN","NES","18","12071.24245","0","1","         -3353.091","8717.15145"
"SIN","NES","19","12371.67729","1","1","         -3648.989","8722.68829"
"SIN","NES","20","12741.03938","103","3","         -4029.628","8811.41138"
"SIN","NES","21","12877.02344","143","1","         -3845.398","9173.62544"
"SIN","NES","22","12680.95626","208","1","         -3574.585","9313.37126"
"SIN","NES","23","12566.13887","219","2","         -3409.074","9374.06487"
"SIN","NES","24","12689.77804","59","0","         -3405.179","9343.59904"
"SIN","NOR","1","4339.71809","0","0","           -45.207","4294.51109"
"SIN","NOR","2","4098.09604","0","0","            39.491","4137.58704"
"SIN","NOR","3","3707.81397","0","0","           269.691","3977.50497"
"SIN","NOR","4","3589.71598","0","0","            259.43","3849.14598"
"SIN","NOR","5","3510.24278","0","0","           203.436","3713.67878"
"SIN","NOR","6","3448.66422","0","0","           154.529","3603.19322"
"SIN","NOR","7","3348.27163","0","0","               133","3481.27163"
"SIN","NOR","8","3227.51198","0","0","            83.272","3310.78398"
"SIN","NOR","9","3332.35941","0","0","           -10.778","3321.58141"
"SIN","NOR","10","3476.89561","0","0","           -10.024","3466.87161"
"SIN","NOR","11","3346.60579","0","0","           289.836","3636.44179"
"SIN","NOR","12","3546.04165","0","0","           278.121","3824.16265"
"SIN","NOR","13","3825.95709","0","0","           193.868","4019.82509"
